,AF3,AF4,Fp1,Fp2,AF7,AF8
0,-0.260516941547394,-0.302090257406235,-0.333916813135147,-0.304861307144165,-0.282104045152664,-0.277290105819702
1,-0.255282670259476,-0.287237584590912,-0.300094366073608,-0.291224718093872,-0.259231477975845,-0.26103276014328
2,-0.254264354705811,-0.266578674316406,-0.264332503080368,-0.276893824338913,-0.237729027867317,-0.252837628126144
3,-0.263114720582962,-0.249227002263069,-0.243731290102005,-0.272695779800415,-0.239976331591606,-0.257078886032104
4,-0.278751343488693,-0.24105566740036,-0.242625340819359,-0.279682010412216,-0.271328836679459,-0.264307409524918
5,-0.293003529310226,-0.239611938595772,-0.245727390050888,-0.288918435573578,-0.310414344072342,-0.265678226947784
6,-0.304181724786758,-0.240978062152863,-0.238699153065681,-0.291609287261963,-0.334745407104492,-0.262894839048386
7,-0.313791573047638,-0.241150960326195,-0.219908103346825,-0.282390505075455,-0.335874646902084,-0.25140717625618
8,-0.316316366195679,-0.236082002520561,-0.199480205774307,-0.262398153543472,-0.319013804197311,-0.224555060267448
9,-0.306180268526077,-0.228185757994652,-0.192610770463943,-0.24071729183197,-0.298283189535141,-0.194974645972252
10,-0.289467096328735,-0.225604429841042,-0.208590105175972,-0.227648034691811,-0.284663707017899,-0.183904305100441
11,-0.275332808494568,-0.231490060687065,-0.239918559789658,-0.224701017141342,-0.278422743082047,-0.194942712783813
12,-0.262113064527512,-0.240176528692245,-0.264435291290283,-0.224114462733269,-0.269571989774704,-0.215311095118523
13,-0.244634494185448,-0.248377740383148,-0.2720066010952,-0.223035231232643,-0.249805480241776,-0.237028926610947
14,-0.223732322454453,-0.258493542671204,-0.272887617349625,-0.225754603743553,-0.227710768580437,-0.258311688899994
15,-0.201328694820404,-0.26656249165535,-0.265188485383987,-0.227408275008202,-0.212743550539017,-0.274898439645767
16,-0.178214237093925,-0.260629504919052,-0.224903762340546,-0.214615926146507,-0.190626874566078,-0.281196892261505
17,-0.159594103693962,-0.237513616681099,-0.148183852434158,-0.189008593559265,-0.150973916053772,-0.274104297161102
18,-0.15304009616375,-0.213217958807945,-0.073165237903595,-0.170287221670151,-0.117891184985638,-0.25842422246933
19,-0.161414831876755,-0.205008044838905,-0.0383127108216286,-0.171533301472664,-0.116259470582008,-0.242064863443375
20,-0.179507955908775,-0.210816204547882,-0.0456223301589489,-0.187681168317795,-0.141894415020943,-0.225519403815269
21,-0.197207897901535,-0.218004822731018,-0.0727487504482269,-0.201685935258865,-0.177128612995148,-0.204524353146553
22,-0.212451189756393,-0.221403375267982,-0.106849081814289,-0.203450277447701,-0.20755922794342,-0.183253034949303
23,-0.22922882437706,-0.223237261176109,-0.154165551066399,-0.205152302980423,-0.225747793912888,-0.174783155322075
24,-0.241120606660843,-0.222169026732445,-0.207560524344444,-0.214405313134193,-0.227740526199341,-0.179523393511772
25,-0.235651224851608,-0.212527930736542,-0.231731429696083,-0.21119636297226,-0.214697495102882,-0.183022037148476
26,-0.212154030799866,-0.191897019743919,-0.205382108688354,-0.180213034152985,-0.194994166493416,-0.176078096032143
27,-0.186662346124649,-0.164864659309387,-0.158533468842506,-0.137718111276627,-0.177322790026665,-0.158346086740494
28,-0.17815101146698,-0.14415867626667,-0.141644462943077,-0.111446529626846,-0.173097833991051,-0.134287759661675
29,-0.187907487154007,-0.144334182143211,-0.167198181152344,-0.112932957708836,-0.190007969737053,-0.117675691843033
30,-0.199690774083138,-0.163480550050735,-0.202021673321724,-0.132701560854912,-0.212076500058174,-0.124931067228317
31,-0.204792127013206,-0.18498620390892,-0.216679930686951,-0.16145583987236,-0.217620640993118,-0.157951414585114
32,-0.212100222706795,-0.2017792314291,-0.220294907689095,-0.203061357140541,-0.212012246251106,-0.200199410319328
33,-0.227444961667061,-0.209435015916824,-0.231503054499626,-0.253167569637299,-0.213916003704071,-0.229504108428955
34,-0.241573825478554,-0.198208093643188,-0.248293906450272,-0.289303630590439,-0.222429797053337,-0.238412633538246
35,-0.243855878710747,-0.173610955476761,-0.261319637298584,-0.295742034912109,-0.225590825080872,-0.23790717124939
36,-0.234063118696213,-0.152917325496674,-0.265458762645721,-0.278368085622787,-0.225507229566574,-0.240958467125893
37,-0.21995410323143,-0.140983551740646,-0.255999475717545,-0.250241816043854,-0.224331721663475,-0.246196836233139
38,-0.209102109074593,-0.129141286015511,-0.22527389228344,-0.217872768640518,-0.210826605558395,-0.240334749221802
39,-0.202167674899101,-0.112528972327709,-0.164393916726112,-0.179266273975372,-0.174645408987999,-0.214689463376999
40,-0.190608769655228,-0.0912228673696518,-0.0749023780226707,-0.125454232096672,-0.116009280085564,-0.16976971924305
41,-0.166300296783447,-0.069460041821003,0.0176913700997829,-0.0591047257184982,-0.0554313249886036,-0.115056805312634
42,-0.139905110001564,-0.0650706440210342,0.0635253936052322,-0.0117590464651585,-0.0327522940933704,-0.07419104129076
43,-0.131727293133736,-0.0885021761059761,0.027078540995717,-0.0142384422942996,-0.0687644928693771,-0.068350113928318
44,-0.145189851522446,-0.121096611022949,-0.0697647631168365,-0.0599081665277481,-0.13604648411274,-0.0903613939881325
45,-0.167850539088249,-0.142190083861351,-0.170008018612862,-0.118003591895103,-0.189591348171234,-0.116287313401699
46,-0.186478450894356,-0.148976907134056,-0.23234748840332,-0.162737429141998,-0.206918448209763,-0.133009508252144
47,-0.191445857286453,-0.143668308854103,-0.248943448066711,-0.182874739170074,-0.188009276986122,-0.142259955406189
48,-0.177469611167908,-0.129169553518295,-0.22905345261097,-0.177454575896263,-0.147329717874527,-0.14758574962616
49,-0.15003265440464,-0.110303178429604,-0.180729135870934,-0.148294001817703,-0.107735961675644,-0.141368061304092
50,-0.127163514494896,-0.0912960693240166,-0.120849430561066,-0.108009546995163,-0.0831320509314537,-0.112132206559181
51,-0.123567752540112,-0.0820760056376457,-0.0809594467282295,-0.0831450745463371,-0.0728613138198853,-0.0708459764719009
52,-0.13456466794014,-0.0936422944068909,-0.0739187374711037,-0.084515243768692,-0.0741712972521782,-0.0459358096122742
53,-0.142119184136391,-0.11494180560112,-0.0737079158425331,-0.0888487920165062,-0.0865606218576431,-0.0449421033263206
54,-0.133648872375488,-0.120645150542259,-0.0514475703239441,-0.0675929263234138,-0.102120362222195,-0.0499168708920479
55,-0.11248853802681,-0.103642217814922,-0.0106207448989153,-0.0210387874394655,-0.105787053704262,-0.0471257194876671
56,-0.0933424755930901,-0.0778877735137939,0.0249947793781757,0.026034276932478,-0.0884614884853363,-0.039438784122467
57,-0.0909005925059319,-0.0598834604024887,0.0345110408961773,0.0473825670778751,-0.0592910796403885,-0.0367983169853687
58,-0.10853286832571,-0.0574321299791336,0.0107444645836949,0.031286533921957,-0.0421576052904129,-0.0439893528819084
59,-0.136584579944611,-0.0668769627809525,-0.0366998985409737,-0.0147082945331931,-0.0494706891477108,-0.0575505159795284
60,-0.16281121969223,-0.0762038305401802,-0.0826109498739243,-0.0691563412547112,-0.0680351555347443,-0.0663538128137589
