,AF3,AF4,Fp1,Fp2,AF7,AF8
0,-0.0685151293873787,-0.31104239821434,-0.106108814477921,-0.0972588881850243,-0.11296109855175,-0.175773650407791
1,-0.047355592250824,-0.290351390838623,-0.0648173913359642,-0.0734992623329163,-0.114109016954899,-0.15992283821106
2,-0.0323889963328838,-0.276770979166031,-0.0655882954597473,-0.0917517021298409,-0.129316687583923,-0.152680784463882
3,-0.0397127196192741,-0.276937901973724,-0.105365701019764,-0.139791294932365,-0.159876108169556,-0.16163869202137
4,-0.0623685233294964,-0.279083162546158,-0.157415941357613,-0.187493801116943,-0.18993179500103,-0.178248077630997
5,-0.081142783164978,-0.268367111682892,-0.195811897516251,-0.212147608399391,-0.207133173942566,-0.186046615242958
6,-0.0875752568244934,-0.249823078513145,-0.216614171862602,-0.215919941663742,-0.213766023516655,-0.183271631598473
7,-0.0862956792116165,-0.239186212420464,-0.230425655841827,-0.213438406586647,-0.216557413339615,-0.179123625159264
8,-0.0865132883191109,-0.245688050985336,-0.247149154543877,-0.214733824133873,-0.220081523060799,-0.180592015385628
9,-0.0924751237034798,-0.265258222818375,-0.264926075935364,-0.219382554292679,-0.222518905997276,-0.186659127473831
10,-0.0963725000619888,-0.281667023897171,-0.268151998519897,-0.217053979635239,-0.213688462972641,-0.185130059719086
11,-0.0912302583456039,-0.282643049955368,-0.249291330575943,-0.201951622962952,-0.189616695046425,-0.167317822575569
12,-0.0803767591714859,-0.270694673061371,-0.222755432128906,-0.182133495807648,-0.157772019505501,-0.14050155878067
13,-0.0699225068092346,-0.259798645973206,-0.209206596016884,-0.170653760433197,-0.127021580934525,-0.120117612183094
14,-0.0636928975582123,-0.259576320648193,-0.211647108197212,-0.171197682619095,-0.102235071361065,-0.116743318736553
15,-0.0609942451119423,-0.262495189905167,-0.211851343512535,-0.172940149903297,-0.0834282860159874,-0.127730473875999
16,-0.0588418059051037,-0.261088341474533,-0.194887042045593,-0.165953889489174,-0.0706561654806137,-0.144069358706474
17,-0.0563410334289074,-0.258454829454422,-0.162425488233566,-0.15044304728508,-0.0590017959475517,-0.157899007201195
18,-0.0531366057693958,-0.255205631256104,-0.12388201802969,-0.129034996032715,-0.0385983847081661,-0.16081215441227
19,-0.0518539287149906,-0.251250505447388,-0.0937683135271072,-0.108286432921886,-0.0192988142371178,-0.150106266140938
20,-0.0562945753335953,-0.250907570123672,-0.086216114461422,-0.0971129834651947,-0.0259999912232161,-0.132615640759468
21,-0.0636210963129997,-0.254909873008728,-0.101783946156502,-0.0973080545663834,-0.0651397779583931,-0.11846973747015
22,-0.0683440864086151,-0.257332295179367,-0.126998290419579,-0.103984996676445,-0.117858611047268,-0.112569637596607
23,-0.0676563605666161,-0.252665221691132,-0.145223915576935,-0.111019521951675,-0.159263789653778,-0.111695148050785
24,-0.0602972283959389,-0.24196869134903,-0.147437959909439,-0.113698810338974,-0.174869820475578,-0.111925207078457
25,-0.0475744977593422,-0.228289365768433,-0.138690277934074,-0.11041098088026,-0.167426824569702,-0.113195456564426
26,-0.0363862775266171,-0.216527417302132,-0.133441284298897,-0.106984376907349,-0.150548502802849,-0.119679249823093
27,-0.0321675464510918,-0.214035987854004,-0.138498246669769,-0.109961360692978,-0.128938570618629,-0.132681831717491
28,-0.0314029939472675,-0.218668803572655,-0.143873512744904,-0.114104226231575,-0.0976549685001373,-0.143421843647957
29,-0.0299839843064547,-0.219230830669403,-0.137426495552063,-0.110783763229847,-0.0623084306716919,-0.142432495951653
30,-0.0256797522306442,-0.209220364689827,-0.117214724421501,-0.100407473742962,-0.0382463522255421,-0.127885401248932
31,-0.0140573447570205,-0.192651107907295,-0.0889721661806107,-0.0892772302031517,-0.0315348096191883,-0.105179250240326
32,6.63346072542481E-05,-0.181692019104958,-0.0692158490419388,-0.0864804685115814,-0.0433852672576904,-0.0866995006799698
33,-0.000435302616097033,-0.187433511018753,-0.0759799256920815,-0.0996763557195663,-0.0796672701835632,-0.0848419293761253
34,-0.0213577300310135,-0.206219092011452,-0.102426238358021,-0.122074343264103,-0.128337144851685,-0.0978135019540787
35,-0.0498870424926281,-0.224073693156242,-0.126337856054306,-0.138097360730171,-0.155163913965225,-0.112635605037212
36,-0.0734013319015503,-0.234835758805275,-0.14263454079628,-0.145083025097847,-0.148060068488121,-0.12178061902523
37,-0.0846978276968002,-0.239192590117455,-0.15503454208374,-0.14877125620842,-0.130772918462753,-0.124349564313889
38,-0.082159586250782,-0.236529260873795,-0.159192249178886,-0.149019554257393,-0.124181613326073,-0.121437631547451
39,-0.0730570405721664,-0.227808862924576,-0.153336346149445,-0.145424753427505,-0.12668839097023,-0.117141492664814
