,AF3,AF4,Fp1,Fp2,AF7,AF8
0,-0.274895697832108,-0.251445055007935,-0.236441910266876,0.5,-0.277413100004196,-0.300380825996399
1,-0.250651210546494,-0.270475268363953,-0.214162230491638,0.5,-0.26412233710289,-0.300484776496887
2,-0.229876190423965,-0.281489878892899,-0.202509611845016,0.5,-0.243911936879158,-0.305902451276779
3,-0.221805706620216,-0.277383685112,-0.208000674843788,0.5,-0.226557821035385,-0.310018509626389
4,-0.228538006544113,-0.267745018005371,-0.239348441362381,0.5,-0.230895593762398,-0.305031269788742
5,-0.24539490044117,-0.263535141944885,-0.283925563097,0.5,-0.252048939466476,-0.291433334350586
6,-0.261708557605743,-0.263139814138412,-0.320702701807022,0.5,-0.269086480140686,-0.285630434751511
7,-0.27464160323143,-0.265650659799576,-0.34959214925766,0.5,-0.279776930809021,-0.308023065328598
8,-0.294342517852783,-0.282661408185959,-0.381681203842163,0.5,-0.294212907552719,-0.362877577543259
9,-0.3199243247509,-0.316469490528107,-0.413855373859406,0.5,-0.307476818561554,-0.428649842739105
10,-0.331302434206009,-0.350974947214127,-0.435522347688675,0.5,-0.312104016542435,-0.48080974817276
11,-0.316570430994034,-0.370080530643463,-0.439965158700943,0.5,-0.310984760522842,-0.5
12,-0.283456563949585,-0.359009653329849,-0.415749669075012,0.5,-0.297151058912277,-0.5
13,-0.243390485644341,-0.309460997581482,-0.355223059654236,0.5,-0.258406162261963,-0.458991944789886
14,-0.204011857509613,-0.235696896910667,-0.268381655216217,0.5,-0.200338169932365,-0.38699135184288
15,-0.174211457371712,-0.161723390221596,-0.175048381090164,0.5,-0.14272528886795,-0.303679376840591
16,-0.159487321972847,-0.103808373212814,-0.0953641384840012,0.5,-0.102996334433556,-0.236022785305977
17,-0.157710433006287,-0.0779327750205994,-0.0512169152498245,-0.5,-0.0902875140309334,-0.203228890895844
18,-0.161617949604988,-0.0901130363345146,-0.0534134991466999,-0.5,-0.0974703058600426,-0.202863082289696
19,-0.161049336194992,-0.121019273996353,-0.0879350677132607,-0.5,-0.105013497173786,-0.215147748589516
20,-0.152725696563721,-0.148482620716095,-0.138552784919739,-0.5,-0.110817432403564,-0.228114098310471
21,-0.147889703512192,-0.161091282963753,-0.197583928704262,-0.5,-0.130382761359215,-0.245926931500435
22,-0.155169948935509,-0.153166949748993,-0.245021939277649,-0.5,-0.157730236649513,-0.269160807132721
23,-0.159941554069519,-0.138484239578247,-0.259601503610611,-0.5,-0.164980307221413,-0.287962168455124
24,-0.148772850632668,-0.135919809341431,-0.247707560658455,-0.5,-0.150750771164894,-0.297850072383881
25,-0.133074477314949,-0.13737328350544,-0.231917187571526,-0.5,-0.142195194959641,-0.301185190677643
